GeneName	PMID	PublicationYear
AFF2	37936174	2023
AFF2	37768318	2023
AFF2	37628570	2023
AFF2	37551886	2023
AFF2	37551173	2023
AFF2	37508562	2023
AFF2	36711694	2023
AFF2	37440569	2023
AFF2	37352983	2023
AFF2	37209683	2023
AFF2	36970617	2023
AFF2	36882476	2023
AFF2	36816716	2022
AFF2	36510265	2023
AFF2	35972625	2022
AFF2	35904811	2022
AFF2	35813024	2022
AFF2	35794169	2022
AFF2	35729184	2022
AFF2	35609145	2022
AFF2	35431806	2021
AFF2	35127573	2022
AFF2	35038595	2021
AFF2	34926684	2021
AFF2	34901709	2021
AFF2	34879276	2021
AFF2	34864218	2021
AFF2	34828275	2021
AFF2	34738199	2021
AFF2	34690787	2021
AFF2	34679478	2021
AFF2	34646309	2021
AFF2	10	2021
AFF2	34706668	2022
AFF2	34542927	2022
AFF2	34542254	2022
AFF2	34321326	2021
AFF2	34193467	2021
AFF2	34153466	2021
AFF2	34117786	2021
AFF2	34111553	2022
AFF2	34384738	2021
AFF2	34077515	2021
AFF2	33998336	2021
AFF2	33854084	2020
AFF2	33692361	2021
AFF2	33642901	2021
AFF2	33585555	2021
AFF2	34055898	2020
AFF2	33523882	2021
AFF2	33510257	2020
AFF2	33296661	2020
AFF2	33274544	2020
AFF2	33181255	2020
AFF2	33151065	2020
AFF2	33008014	2020
AFF2	32810583	2020
AFF2	32716213	2020
AFF2	32695777	2020
AFF2	32688058	2020
AFF2	32619224	2020
AFF2	32589669	2020
AFF2	32446918	2020
AFF2	32345345	2020
AFF2	32281281	2021
AFF2	32035967	2019
AFF2	31999047	2020
AFF2	31991700	2020
AFF2	31989181	2019
AFF2	31891607	2019
AFF2	31880363	2020
AFF2	31866572	2020
AFF2	31665086	2020
AFF2	31649034	2019
AFF2	31926601	2019
AFF2	31586348	2019
AFF2	31586346	2019
AFF2	31586339	2019
AFF2	31481131	2019
AFF2	31475042	2019
AFF2	31468394	2019
AFF2	31347257	2019
AFF2	31332380	2019
AFF2	31264835	2019
AFF2	31194863	2019
AFF2	31159589	2019
AFF2	31096929	2019
AFF2	31048495	2018
AFF2	30847793	2018
AFF2	30840878	2019
AFF2	30808398	2018
AFF2	30606610	2018
AFF2	30566867	2018
AFF2	30538724	2018
AFF2	30396281	2018
AFF2	30312299	2018
AFF2	30241613	2018
AFF2	30173918	2018
AFF2	30173918	2018
AFF2	30241613	2018
AFF2	30158855	2017
AFF2	30147707	2018
AFF2	29990673	2017
AFF2	29766042	2017
AFF2	29760651	2017
AFF2	29379561	2017
AFF2	29316893	2017
AFF2	29209628	2017
AFF2	29188551	2017
AFF2	28967713	2017
AFF2	28895261	2017
AFF2	28887402	2017
AFF2	28829283	2017
AFF2	28815939	2016
AFF2	28697590	2016
AFF2	28504725	2017
AFF2	28574060	2016
AFF2	28404480	2016
AFF2	28391068	2016
AFF2	28369393	2017
AFF2	28233916	2016
AFF2	28173181	2016
AFF2	28005950	2016
AFF2	27883256	2016
AFF2	27841182	2016
AFF2	27841172	2016
AFF2	27840045	2016
AFF2	27784894	2016
AFF2	27768763	2016
AFF2	27761921	2016
AFF2	27713816	2016
AFF2	27711053	2016
AFF2	27696642	2016
AFF2	27540028	2016
AFF2	27427765	2015
AFF2	27375073	2016
AFF2	27276216	2015
AFF2	27117425	2016
AFF2	27105111	2015
AFF2	27041225	2015
AFF2	27041225	2015
AFF2	27105111	2015
AFF2	26825750	2015
AFF2	26716517	2016
AFF2	26694146	2015
AFF2	26615955	2015
AFF2	26554012	2015
AFF2	26537920	2015
AFF2	26463479	2015
AFF2	26440889	2015
AFF2	26420841	2015
AFF2	26379101	2015
AFF2	26322075	2015
AFF2	26298472	2015
AFF2	26194536	2015
AFF2	26029703	2014
AFF2	25954027	2015
AFF2	25953684	2014
AFF2	25886163	2014
AFF2	25875842	2014
AFF2	25776194	2014
AFF2	25763861	2014
AFF2	25726753	2014
AFF2	25693964	2014
AFF2	25534560	2015
AFF2	25436181	2014
AFF2	25366135	2014
AFF2	25179629	2014
AFF2	25171808	2014
AFF2	25170346	2014
AFF2	25093044	2014
AFF2	25085749	2014
AFF2	25013385	2014
AFF2	24998620	2014
AFF2	24963073	2014
AFF2	24920338	2014
AFF2	24875778	2014
AFF2	24858908	2014
AFF2	24821701	2014
AFF2	24816393	2013
