GeneName	PMID	PublicationYear
AR	26691666	2015
AR	26541420	2015
AR	26527382	2015
AR	26511871	2015
AR	26506839	2015
AR	26505721	2015
AR	26499105	2015
AR	26410037	2015
AR	26406407	2015
AR	26355245	2015
AR	26345963	2015
AR	26298608	2015
AR	26266536	2015
AR	26257173	2015
AR	26246877	2015
AR	26245150	2015
AR	26221130	2015
AR	26148061	2015
AR	26136429	2015
AR	26103061	2015
AR	26043854	2015
AR	25979597	2015
AR	25925349	2015
AR	25889790	2015
AR	25836407	2015
AR	25828775	2015
AR	25770168	2015
AR	25746115	2015
AR	25665908	2015
AR	25637315	2015
AR	25564772	2015
AR	25536734	2014
AR	25536285	2014
AR	25520876	2014
AR	25514102	2014
AR	25455261	2014
AR	25444128	2014
AR	25368376	2014
AR	25303993	2014
AR	25230321	2014
AR	25217983	2014
AR	25194572	2014
AR	25168381	2014
AR	25156367	2014
AR	25148265	2014
AR	25135395	2014
AR	25122660	2014
AR	25078280	2014
AR	25047668	2014
AR	25027083	2014
AR	25002260	2014
AR	24986529	2014
AR	24984209	2014
AR	24974051	2014
AR	24966714	2014
AR	24925673	2014
AR	24925468	2014
AR	24907641	2014
AR	24872216	2014
AR	24865607	2014
AR	24824408	2014
AR	24818014	2014
AR	24793825	2014
AR	24781112	2014
AR	24742458	2014
AR	24711544	2014
AR	24691874	2014
AR	24661853	2014
AR	24651678	2014
AR	24581743	2014
AR	24581183	2014
AR	24566949	2014
AR	24391916	2014
AR	24324172	2013
AR	24274329	2013
AR	24256885	2013
AR	24200287	2013
AR	24196578	2013
AR	24192039	2013
AR	24154603	2013
AR	24145511	2013
AR	24127488	2013
AR	24120273	2013
AR	24116069	2013
AR	24092878	2013
AR	24041967	2013
AR	23940537	2013
AR	23799424	2013
AR	23789051	2013
AR	23732677	2013
AR	23716070	2013
AR	23679084	2013
AR	23545426	2013
AR	23515294	2013
AR	23467468	2013
AR	23441776	2013
AR	23404338	2013
AR	23388696	2013
AR	23377847	2013
AR	23364790	2013
AR	23359804	2013
AR	23272232	2012
AR	25663752	2012
AR	23184046	2012
AR	23183533	2012
AR	23167717	2012
AR	23151944	2012
AR	23136466	2012
AR	23062703	2012
AR	23023707	2012
AR	22941760	2012
AR	22865615	2012
AR	22819977	2012
AR	22792352	2012
AR	22786587	2012
AR	22765868	2012
AR	22758909	2012
AR	22736030	2012
AR	22731640	2012
AR	22653589	2012
AR	22652498	2012
AR	24052720	2012
AR	22451661	2012
AR	22427994	2012
AR	22333840	2012
AR	22247000	2012
AR	22233359	2012
AR	22166607	2011
AR	22142662	2011
AR	22107839	2011
AR	22068615	2011
AR	22038041	2011
AR	22025404	2011
AR	21977989	2011
AR	21971425	2011
AR	21962718	2011
AR	21887706	2011
AR	21670318	2011
AR	21664238	2011
AR	21643744	2011
AR	21642359	2011
AR	21622935	2011
AR	21486420	2011
AR	21445561	2011
AR	21437189	2011
AR	21424837	2011
AR	21412835	2011
AR	21410629	2011
AR	21364324	2011
AR	21270324	2011
AR	21247881	2011
AR	21173221	2010
AR	21167752	2010
AR	21089003	2010
AR	21088112	2010
AR	20971734	2010
AR	20880698	2010
AR	20689246	2010
AR	20603324	2010
AR	20564618	2010
AR	20479119	2010
AR	20425835	2010
AR	20353269	2010
AR	20233785	2010
AR	20184516	2010
AR	20174632	2010
AR	20127024	2010
AR	20063560	2010
AR	20037738	2009
AR	19956434	2009
AR	19907666	2009
AR	19850517	2009
AR	19818997	2009
AR	19692580	2009
AR	19684044	2009
AR	19590039	2009
AR	19558779	2009
AR	19497852	2009
AR	19482445	2009
AR	19470458	2009
AR	19405952	2009
AR	19264154	2009
AR	19237573	2009
AR	19228953	2009
AR	19218788	2009
AR	19218442	2009
AR	19211034	2009
AR	19207614	2009
AR	19172534	2009
AR	19100835	2008
AR	19095061	2008
AR	19062046	2008
AR	19008940	2008
AR	18962445	2008
AR	18783352	2008
AR	18762554	2008
AR	18645714	2008
AR	18642379	2008
AR	18640985	2008
AR	18624843	2008
AR	18610651	2008
AR	18592136	2008
AR	18446630	2008
AR	18365230	2008
AR	18311759	2008
AR	18281036	2008
AR	18263610	2008
AR	18245258	2008
AR	18222439	2008
AR	18191848	2008
AR	18181049	2008
AR	18177861	2008
AR	18097504	2007
AR	17997416	2007
AR	17984450	2007
AR	17984063	2007
AR	17979523	2007
AR	17942744	2007
AR	17854832	2007
AR	17852020	2007
AR	17825390	2007
AR	17663983	2007
AR	17635942	2007
AR	17587223	2007
AR	17556727	2007
AR	17548623	2007
AR	17507624	2007
AR	17507457	2007
AR	17465263	2007
AR	17431729	2007
AR	17409188	2007
AR	17372242	2007
AR	17321486	2007
AR	17244679	2007
AR	17230529	2007
AR	17161354	2006
AR	17158949	2006
AR	17137601	2006
AR	17114504	2006
AR	17027356	2006
AR	16864772	2006
AR	16859836	2006
AR	16847812	2006
AR	16817826	2006
AR	16813680	2006
AR	16804045	2006
AR	16793958	2006
AR	16772330	2006
AR	16696857	2006
AR	16621916	2006
AR	16515589	2006
AR	16512877	2006
AR	16498607	2006
AR	16493814	2006
AR	16462497	2006
AR	16448271	2006
AR	16437189	2006
AR	16425097	2006
AR	16403814	2006
AR	16401743	2006
AR	16392902	2006
AR	16377095	2005
AR	16365010	2005
AR	16358333	2005
AR	16342177	2005
AR	16299230	2005
AR	16187285	2005
AR	16117826	2005
AR	16077028	2005
AR	16008071	2005
AR	15990087	2005
AR	15972723	2005
AR	15961406	2005
AR	15956082	2005
AR	15954500	2005
AR	15952987	2005
AR	15950642	2005
AR	15876692	2005
AR	15843400	2005
AR	15824176	2005
AR	15747808	2005
AR	15725470	2005
AR	15721279	2005
AR	15659427	2005
AR	15618160	2004
AR	15609126	2004
AR	15599941	2004
AR	15570555	2004
AR	15545219	2004
AR	15527322	2004
AR	15472213	2004
AR	15366384	2004
AR	15358199	2004
AR	15341991	2004
AR	15338496	2004
AR	15310009	2004
AR	15252865	2004
AR	15198988	2004
AR	15146455	2004
AR	15120698	2004
AR	15114529	2004
AR	15079005	2004
AR	15044606	2004
AR	15034028	2004
AR	15019706	2004
AR	15003169	2004
AR	14974917	2004
AR	14973115	2004
AR	14731580	2004
AR	14698481	2003
AR	14693242	2003
AR	14691592	2003
AR	14681885	2003
AR	14674723	2003
AR	14671308	2003
AR	14605819	2003
AR	14585317	2003
AR	14530371	2003
AR	14525977	2003
AR	14511217	2003
AR	14506156	2003
AR	12970845	2003
AR	12960745	2003
AR	12902472	2003
AR	12898143	2003
AR	12860943	2003
AR	12767946	2003
AR	12755998	2003
AR	12714591	2003
AR	12670590	2003
AR	12634316	2003
AR	12632109	2003
AR	12629121	2003
AR	12602915	2003
AR	12542725	2003
AR	12534937	2003
AR	12478141	2002
AR	12427866	2002
AR	12404104	2002
AR	12388541	2002
AR	12385020	2002
AR	12376473	2002
AR	12220434	2002
AR	12189490	2002
AR	12189162	2002
AR	12085360	2002
AR	12042281	2002
AR	12031042	2002
AR	12007452	2002
AR	11956643	2002
AR	11936255	2002
AR	11935317	2002
AR	11927493	2002
AR	11907131	2002
AR	11894978	2002
AR	11875046	2002
AR	11859397	2002
AR	11847524	2002
AR	11810651	2002
AR	11809726	2002
AR	11788641	2002
AR	11721964	2001
AR	11720249	2001
AR	11701709	2001
AR	11600555	2001
AR	11590133	2001
AR	11571732	2001
AR	11571725	2001
AR	11555624	2001
AR	11550169	2001
AR	11494335	2001
AR	11473958	2001
AR	11443190	2001
AR	11436124	2001
AR	11368874	2001
AR	11331662	2001
AR	11330644	2001
AR	11266016	2001
AR	11259089	2001
AR	11179012	2001
AR	11167027	2001
AR	11160357	2001
AR	11124939	2000
AR	11121465	2000
AR	11085623	2000
AR	11016637	2000
AR	10999852	2000
AR	10970838	2000
AR	10958659	2000
AR	10956560	2000
AR	10852984	2000
AR	10821498	2000
AR	10817350	2000
AR	10802667	2000
AR	10794490	2000
AR	10732798	2000
AR	10732754	2000
AR	10717532	2000
AR	10717003	2000
AR	10656235	2000
AR	10643885	2000
AR	10637497	2000
AR	10617922	2000
AR	10574254	1999
AR	10564878	1999
AR	10544298	1999
AR	10486315	1999
AR	10419869	1999
AR	10400640	1999
AR	10385915	1999
AR	10332033	1999
AR	10323251	1999
AR	10234512	1999
AR	9925917	1999
AR	9887340	1999
AR	9887331	1999
AR	9886069	1999
AR	9880240	1999
AR	9815849	1998
AR	9813160	1998
AR	9761394	1998
AR	9732460	1998
AR	9731888	1998
AR	9692387	1998
AR	9677254	1998
AR	9580659	1998
AR	9499423	1998
AR	9570577	1998
AR	9371827	1997
AR	9366845	1997
AR	9360957	1997
AR	9382110	1997
AR	9278315	1997
AR	9270598	1997
AR	9220968	1997
AR	9260157	1997
AR	9182921	1997
AR	9094973	1997
AR	9020849	1997
AR	8978274	1997
AR	8960833	1996
AR	8954049	1996
AR	8861915	1996
AR	8878435	1996
AR	8823299	1996
AR	8752674	1996
AR	8737374	1996
AR	8926495	1996
AR	8879455	1996
AR	8807333	1996
AR	8645957	1995
AR	7552995	1995
AR	7494041	1995
AR	7562772	1995
AR	7581727	1995
AR	7897233	1995
AR	7772520	1995
AR	7757084	1995
AR	7719348	1995
AR	7532192	1995
AR	8065934	1994
AR	8058147	1994
AR	7951325	1994
AR	7527219	1994
AR	8122879	1994
AR	7515106	1994
AR	8285579	1994
AR	8282807	1994
AR	8232348	1993
AR	1461383	1992
AR	1734865	1992
AR	1309425	1992
AR	2544184	1989
ARX	36571524	2022
ARX	33847015	2021
ARX	32033960	2020
ARX	28627419	2017
ARX	28602636	2017
ARX	27798109	2016
ARX	26571108	2015
ARX	25171319	2014
ARX	24236044	2013
ARX	23968833	2013
ARX	23246292	2012
ARX	22628459	2012
ARX	22108177	2011
ARX	21204215	2011
ARX	20376468	2010
ARX	19587282	2009
ARX	19018235	2008
ARX	18823727	2008
ARX	18462864	2008
ARX	17668384	2007
ARX	17664401	2007
ARX	17480217	2007
ARX	15533998	2004
ARX	12874418	2003
ATN1	38152578	2023
ATN1	37243799	2023
ATN1	36599645	2023
ATN1	36530930	2022
ATN1	35182509	2022
ATN1	34968706	2021
ATN1	33106889	2020
ATN1	32711193	2020
ATN1	32675418	2020
ATN1	32129252	2020
ATN1	31493762	2019
ATN1	30891880	2019
ATN1	30827498	2019
ATN1	30615214	2019
ATN1	30314815	2018
ATN1	30120431	2018
ATN1	29801887	2018
ATN1	29715545	2018
ATN1	29249939	2017
